IC_NGC_key,Type,Coordinates,Constellation,Axis,PosAng,V-Mag,SurfBr,Hubble,M,Common names
IC 2658,*,11:15:08.75 +12:59:47.8,Leo, ,,,,,,
IC 2659,*,11:15:27.84 +12:53:15.6,Leo, ,,,,,,
IC 2660,G,11:15:28.44 +12:26:13.9,Leo,0.40 0.31,158,,23.45,Sb,,
IC 2661,G,11:15:29.17 +13:36:31.2,Leo,0.68 0.26,110,,23.96,S0-a,,
IC 2662,Other,11:15:30.79 +12:46:15.8,Leo, ,,,,,,
IC 2663,*,11:15:32.38 +12:36:14.1,Leo, ,,,,,,
IC 2664,**,11:15:38.44 +12:33:45.7,Leo, ,,,,,,
IC 2665,G,11:15:40.78 +11:43:26.9,Leo,0.59 0.21,103,,24.19,Sm,,
IC 2666,G,11:15:43.77 +13:46:56.1,Leo,1.07 0.72,167,,23.05,S0-a,,
IC 2667,G,11:15:44.04 +12:07:00.6,Leo,0.63 0.51,173,,24.56,E,,
IC 2668,G,11:15:32.28 -14:10:15.9,Crater,1.55 0.54,140,,23.79,SBa,,
IC 2669,**,11:15:53.22 +13:25:46.4,Leo, ,,,,,,
IC 2670,G,11:15:59.56 +11:47:00.1,Leo,0.46 0.29,166,,23.46,Sab,,
IC 2671,*,11:16:03.32 +13:07:27.3,Leo, ,,,,,,
IC 2672,*,11:16:03.82 +10:09:26.2,Leo, ,,,,,,
IC 2673,G,11:16:04.13 +10:09:45.2,Leo,0.85 0.55,35,,23.57,Sc,,
IC 2674,G,11:16:08.25 +11:02:55.1,Leo,1.12 0.65,23,,24.09,Sc,,
IC 2675,*,11:16:10.81 +12:14:57.5,Leo, ,,,,,,
IC 2676,G,11:16:18.51 +09:49:18.6,Leo,0.14 0.11,155,,21.97,Sc,,
IC 2677,G,11:16:19.30 +12:12:57.1,Leo,0.23 0.19,10,,23.69,,,
IC 2678,G,11:16:21.64 +11:56:56.8,Leo,0.67 0.26,121,,24.27,S0-a,,
IC 2679,G,11:16:23.20 +12:00:55.4,Leo,0.87 0.56,23,,24.17,S0-a,,
IC 2680,G,11:16:25.53 +09:48:25.7,Leo,0.79 0.28,132,,23.82,S0-a,,
IC 2681,Other,11:16:33.25 +11:12:25.9,Leo, ,,,,,,
IC 2682,**,11:16:36.12 +09:24:38.8,Leo, ,,,,,,
IC 2683,G,11:16:54.30 +12:05:57.4,Leo,0.42 0.28,87,,23.98,E,,
IC 2684,G,11:17:01.05 +13:05:58.7,Leo,0.76 0.57,171,,24.91,I,,
IC 2685,*,11:17:00.09 +10:05:38.7,Leo, ,,,,,,
IC 2686,*,11:17:02.51 +12:57:06.0,Leo, ,,,,,,
IC 2687,**,11:17:11.98 +10:09:29.2,Leo, ,,,,,,
IC 2688,NonEx, ,#N/A, ,,,,,,
IC 2689,G,11:17:19.50 +12:57:35.8,Leo,0.66 0.24,31,,23.96,Sm,,
IC 2690,G,11:17:21.59 +12:58:31.5,Leo,0.28 0.26,47,,24.06,,,
IC 2691,*,11:17:24.58 +12:01:51.9,Leo, ,,,,,,
IC 2692,G,11:17:33.22 +10:46:05.0,Leo,0.52 0.39,100,,24.05,E,,
IC 2693,*,11:17:36.31 +13:32:55.8,Leo, ,,,,,,
IC 2694,G,11:17:38.60 +13:22:34.0,Leo,0.76 0.36,86,,23.17,SBbc,,
IC 2695,G,11:17:48.57 +13:43:39.6,Leo,0.51 0.39,58,,23.6,Sbc,,
IC 2696,*,11:17:48.93 +12:45:20.7,Leo, ,,,,,,
IC 2697,*,11:17:51.13 +13:23:59.9,Leo, ,,,,,,
IC 2698,G,11:17:51.02 +11:53:08.8,Leo,0.70 0.48,43,,23.68,Scd,,
IC 2699,*,11:17:52.65 +11:54:33.2,Leo, ,,,,,,
IC 2700,G,11:17:54.18 +12:03:15.1,Leo,0.38 0.31,120,,23.59,Sc,,
IC 2701,G,11:17:57.02 +11:07:05.0,Leo,0.44 0.22,78,,23.55,Sc,,
IC 2702,G,11:17:57.23 +09:24:44.9,Leo,0.40 0.34,117,,23.72,Sb,,
IC 2703,G,11:18:05.13 +17:38:58.3,Leo,0.93 0.82,19,,24.23,S0,,
IC 2704,G,11:18:04.01 +12:27:15.1,Leo,0.65 0.40,70,,23.25,Sab,,
IC 2705,*,11:18:03.68 +11:54:14.7,Leo, ,,,,,,
IC 2706,*,11:18:29.20 +12:32:54.4,Leo, ,,,,,,
IC 2707,G,11:18:30.84 +09:28:29.5,Leo,0.46 0.38,148,,23.49,SBbc,,
IC 2708,G,11:18:34.61 +12:42:40.0,Leo,0.92 0.77,63,,23.79,E,,
IC 2709,G,11:18:42.16 +12:33:42.1,Leo,0.54 0.38,153,,24.56,I,,
IC 2710,**,11:18:44.32 +13:33:59.7,Leo, ,,,,,,
IC 2711,*,11:18:46.49 +13:44:18.4,Leo, ,,,,,,
IC 2712,G,11:18:52.78 +09:37:36.8,Leo,0.46 0.41,44,,23.58,Sb,,
IC 2713,G,11:19:10.22 +12:09:53.3,Leo,0.59 0.57,40,,24.01,E,,
IC 2714,OCl,11:17:27.35 -62:43:30.4,Carina,7.2,,8.2,,,,
IC 2715,G,11:19:14.39 +11:57:07.8,Leo,0.74 0.37,100,,28.48,I,,
IC 2716,G,11:19:16.34 +11:41:54.8,Leo,0.38 0.19,81,,23.7,Sm,,
IC 2717,*,11:19:18.77 +12:02:54.8,Leo, ,,,,,,
IC 2718,G,11:19:20.90 +12:01:20.2,Leo,0.59 0.26,99,,23.12,Sbc,,
IC 2719,G,11:19:32.20 +12:03:35.2,Leo,0.22 0.21,83,,23.48,E,,
IC 2720,G,11:19:35.65 +12:04:35.7,Leo,0.79 0.59,24,,24.01,E,,
IC 2721,Other,11:19:42.81 +12:18:38.3,Leo, ,,,,,,
IC 2722,GTrpl,11:19:44.36 +13:57:46.5,Leo,0.7,,,,,,
IC 2722NED01,G,11:19:43.94 +13:57:50.1,Leo,0.69 0.48,70,,24.15,E,,
IC 2722NED03,G,11:19:44.36 +13:57:46.5,Leo,0.11 0.07,80,,,Sa,,
IC 2723,G,11:19:47.90 +12:02:00.4,Leo,0.47 0.25,104,,24.58,E,,
