IC_NGC_key,Type,Coordinates,Constellation,Axis,PosAng,V-Mag,SurfBr,Hubble,M,Common names
NGC 4898A,G,13:00:17.67 +27:57:19.4,Coma Berenices,0.68 0.31,96,14.59,23.51,E,,
NGC 4898B,G,13:00:18.09 +27:57:23.6,Coma Berenices,0.61 0.47,155,14.33,23.42,E-S0,,
NGC 4899,G,13:00:56.63 -13:56:39.2,Virgo,2.02 1.17,15,12.33,22.48,SABc,,
NGC 4900,G,13:00:39.11 +02:30:05.2,Virgo,2.13 2.02,150,11.36,22.23,Sc,,
NGC 4901,G,12:59:56.41 +47:12:20.0,Canes Venatici,1.15 1.10,155,,24.3,E,,
NGC 4902,G,13:00:59.73 -14:30:49.1,Virgo,2.63 2.37,78,11.26,22.57,Sb,,
NGC 4903,G,13:01:22.77 -30:56:05.9,Centaurus,1.72 1.41,90,12.5,23.48,Sc,,
NGC 4904,G,13:00:58.66 -00:01:39.4,Virgo,1.99 1.24,7,11.96,22.42,Sc,,
NGC 4905,G,13:01:30.68 -30:52:05.8,Centaurus,1.55 0.50,174,,23.94,S0-a,,
NGC 4906,G,13:00:39.77 +27:55:26.0,Coma Berenices,0.70 0.64,0,14.1,23.18,E,,
NGC 4907,G,13:00:48.80 +28:09:30.0,Coma Berenices,1.00 0.90,32,13.66,23.18,Sb,,
NGC 4908,G,13:00:54.46 +28:00:27.5,Coma Berenices,1.19 0.77,97,13.23,23.45,E,,
NGC 4909,G,13:02:01.85 -42:46:17.1,Centaurus,1.96 1.80,30,12.76,23.75,Sa,,
NGC 4910,Dup,12:58:01.19 +01:34:33.0,Virgo, ,,,,,,
NGC 4911,G,13:00:56.08 +27:47:27.0,Coma Berenices,1.16 0.96,130,12.88,22.57,SABb,,
NGC 4912,G,13:01:33.60 +29:07:50.2,Coma Berenices,1.06 0.53,135,13.84,23.63,S0,,
NGC 4913,G,13:01:43.37 +29:02:40.8,Coma Berenices,1.45 0.40,88,13.84,23.53,SABa,,
NGC 4914,G,13:00:42.95 +37:18:55.0,Canes Venatici,2.69 1.31,154,11.6,23.48,E,,
NGC 4915,G,13:01:28.22 -04:32:47.5,Virgo,1.64 1.55,65,12,22.84,E,,
NGC 4916,G,13:02:04.20 +29:15:12.4,Coma Berenices,0.98 0.23,156,13.95,23.45,S0-a,,
NGC 4917,G,13:00:55.57 +47:13:19.6,Canes Venatici,1.33 0.81,152,,23.87,Sb,,
NGC 4918,G,13:01:50.62 -04:30:02.0,Virgo,0.89 0.33,77,,23.59,S0-a,,
NGC 4919,G,13:01:17.59 +27:48:32.7,Coma Berenices,1.11 0.58,142,14.04,23.99,S0,,
NGC 4920,G,13:02:04.15 -11:22:42.3,Virgo,1.08 0.83,170,,22.82,I,,
NGC 4921,G,13:01:26.15 +27:53:09.4,Coma Berenices,1.96 1.80,135,12.62,23.64,Sab,,
NGC 4922,GPair,13:01:24.90 +29:18:40.0,Coma Berenices,1.1,,,,,,
NGC 4922NED01,G,13:01:24.52 +29:18:30.1,Coma Berenices,1.23 1.17,137,14,23.15,E,,
NGC 4922NED02,G,13:01:25.26 +29:18:49.6,Coma Berenices,0.58 0.34,123,14.02,21.9,S?,,
NGC 4923,G,13:01:31.80 +27:50:51.1,Coma Berenices,0.72 0.67,60,13.74,22.73,E-S0,,
NGC 4924,G,13:02:12.85 -14:58:11.4,Virgo,1.77 1.35,58,,23.73,S0-a,,
NGC 4925,G,13:02:07.39 -07:42:38.8,Virgo,1.18 0.87,119,,23.51,S0,,
NGC 4926,G,13:01:53.73 +27:37:28.0,Coma Berenices,1.23 1.04,64,12.99,23.23,E-S0,,
NGC 4926A,G,13:02:07.88 +27:38:53.9,Coma Berenices,0.63 0.44,87,,23.17,S0,,
NGC 4927,G,13:01:57.60 +28:00:21.2,Coma Berenices,1.01 0.64,12,,23.48,E-S0,,
NGC 4928,G,13:03:00.57 -08:05:05.9,Virgo,1.05 0.80,73,,21.55,Sbc,,
NGC 4929,G,13:02:44.40 +28:02:43.3,Coma Berenices,0.82 0.68,48,,23.36,E,,
NGC 4930,G,13:04:05.27 -41:24:41.7,Centaurus,3.54 2.84,44,11.43,23.49,Sbc,,
NGC 4931,G,13:03:00.88 +28:01:56.9,Coma Berenices,1.65 0.62,77,13.43,24.23,S0,,
NGC 4932,G,13:02:37.71 +50:26:18.3,Canes Venatici,1.44 1.08,1,,23.88,Sc,,
NGC 4933,GTrpl,13:03:57.90 -11:29:52.0,Virgo,3.5,,,,,,
NGC 4933A,G,13:03:54.73 -11:30:18.2,Virgo,0.74 0.74,40,,22.18,E,,
NGC 4933B,G,13:03:56.74 -11:29:53.0,Virgo,4.37 1.88,46,11.74,24.41,S0-a,,
NGC 4933C,G,13:04:01.09 -11:29:26.0,Virgo,0.65 0.52,146,,23.5,Sd,,
NGC 4934,G,13:03:16.24 +28:01:49.5,Coma Berenices,1.00 0.16,103,14.33,23.71,S0-a,,
NGC 4935,G,13:03:21.23 +14:22:39.0,Coma Berenices,1.09 0.92,84,,22.78,Sb,,
NGC 4936,G,13:04:16.89 -30:31:34.5,Centaurus,2.85 2.43,6,10.71,23.12,E,,
NGC 4937,*Ass,13:04:51.57 -47:13:09.7,Centaurus, ,,,,,,
NGC 4938,G,13:02:57.59 +51:19:06.7,Canes Venatici,0.87 0.78,44,,23.41,SBb,,
NGC 4939,G,13:04:14.39 -10:20:22.6,Virgo,5.71 2.30,6,11.91,23.71,Sbc,,
NGC 4940,G,13:05:00.25 -47:14:12.9,Centaurus,1.13 1.00,28,13.18,22.89,Sa,,
NGC 4941,G,13:04:13.14 -05:33:05.8,Virgo,3.29 2.70,23,11.27,23.09,SABa,,
NGC 4942,G,13:04:19.11 -07:38:58.0,Virgo,1.68 1.22,25,,23.25,SABc,,
NGC 4943,G,13:03:44.94 +28:05:03.2,Coma Berenices,0.79 0.54,105,,23.64,S0,,
NGC 4944,G,13:03:49.95 +28:11:08.6,Coma Berenices,1.39 0.43,88,12.87,22.69,Sa,,
NGC 4945,G,13:05:27.48 -49:28:05.6,Centaurus,23.33 4.03,44,11.86,23.4,SBc,,
NGC 4945A,G,13:06:33.73 -49:41:26.3,Centaurus,2.63 1.62,57,,23.72,Sm,,
NGC 4946,G,13:05:29.38 -43:35:28.1,Centaurus,2.00 1.67,135,12.35,23.76,E,,
NGC 4947,G,13:05:20.20 -35:20:14.7,Centaurus,2.65 1.34,11,12.2,23.05,Sb,,
NGC 4947A,G,13:04:20.83 -35:13:40.0,Centaurus,1.28 0.51,23,,23.53,SBm,,
NGC 4948,G,13:04:55.96 -07:56:51.7,Virgo,2.30 0.82,140,,23.2,SBcd,,
NGC 4948A,G,13:05:05.79 -08:09:40.8,Virgo,1.44 1.04,180,13.5,23.24,SBd,,
NGC 4949,G,13:04:17.92 +29:01:46.3,Coma Berenices,0.72 0.38,102,14.97,23.4,Sb,,
NGC 4950,G,13:05:36.53 -43:30:01.9,Centaurus,0.92 0.79,99,,23.48,S0,,
NGC 4951,G,13:05:07.70 -06:29:37.8,Virgo,3.14 1.16,90,11.84,22.96,SABc,,
NGC 4952,G,13:04:58.38 +29:07:20.1,Coma Berenices,1.60 0.97,22,13.01,23.58,E,,
NGC 4953,G,13:06:10.47 -37:35:08.7,Centaurus,1.84 0.99,51,,24.13,S0-a,,
NGC 4954,G,13:02:19.87 +75:24:15.0,Draco,0.99 0.65,68,,22.98,S0,,
NGC 4955,G,13:06:04.82 -29:45:15.4,Hydra,2.34 1.72,15,12.15,23.87,E,,
NGC 4956,G,13:05:00.94 +35:10:40.9,Canes Venatici,1.56 1.52,60,12.38,22.99,S0,,
NGC 4957,G,13:05:12.39 +27:34:11.1,Coma Berenices,1.22 0.93,97,12.99,23.29,E,,
NGC 4958,G,13:05:48.88 -08:01:13.0,Virgo,4.79 1.20,7,10.59,23.53,S0,,
NGC 4959,G,13:05:41.03 +33:10:44.1,Canes Venatici,0.74 0.64,178,,23.37,S0-a,,
NGC 4960,Dup,13:05:47.57 +27:44:02.9,Coma Berenices, ,,,,,,
NGC 4961,G,13:05:47.57 +27:44:02.9,Coma Berenices,1.11 0.88,106,13.51,22.73,Sc,,
NGC 4962,Dup,13:04:58.38 +29:07:20.1,Coma Berenices, ,,,,,,
NGC 4963,G,13:05:51.95 +41:43:18.9,Canes Venatici,0.86 0.81,55,,22.59,Sa,,
NGC 4964,G,13:05:24.86 +56:19:22.0,Ursa Major,1.10 0.69,134,,22.71,SABa,,
NGC 4965,G,13:07:09.38 -28:13:41.5,Hydra,2.49 2.05,142,12.41,23.27,SABc,,
NGC 4966,G,13:06:17.31 +29:03:46.3,Coma Berenices,1.03 0.49,142,13.32,22.34,SABa,,
NGC 4967,G,13:05:36.43 +53:33:51.4,Ursa Major,1.15 0.87,117,,24.11,E,,
NGC 4968,G,13:07:05.98 -23:40:37.3,Hydra,2.28 1.04,57,14.79,24.3,S0,,
NGC 4969,GPair,13:07:03.00 +13:38:13.0,Virgo,0.8,,,,,,
NGC 4969NED01,G,13:07:02.74 +13:38:14.5,Virgo,0.78 0.74,77,,23.33,E,,
NGC 4969NED02,G,13:07:03.47 +13:38:13.6,Virgo,0.68 0.66,82,,23.66,E-S0,,
NGC 4970,G,13:07:33.74 -24:00:30.8,Hydra,1.79 1.14,138,,23.31,S0,,
NGC 4971,G,13:06:54.96 +28:32:52.9,Coma Berenices,0.78 0.68,101,,23.21,E-S0,,
NGC 4972,Dup,13:02:19.87 +75:24:15.0,Draco, ,,,,,,
NGC 4973,G,13:05:32.15 +53:41:06.5,Ursa Major,0.96 0.82,94,,23.41,E,,
NGC 4974,G,13:05:55.89 +53:39:33.4,Ursa Major,1.57 1.11,123,13.3,24.14,E,,
NGC 4975,G,13:07:50.20 -05:01:02.9,Virgo,0.97 0.61,29,,23.63,S0,,
NGC 4976,G,13:08:37.53 -49:30:23.1,Centaurus,5.83 3.27,161,10.08,23.63,E,,
NGC 4977,G,13:06:04.43 +55:39:21.9,Ursa Major,1.05 1.02,45,,23.25,Sb,,
NGC 4978,G,13:07:50.53 +18:24:55.8,Coma Berenices,1.51 0.63,142,,23.72,S0-a,,
NGC 4979,G,13:07:42.82 +24:48:38.1,Coma Berenices,0.86 0.74,102,,23.61,Sb,,
NGC 4980,G,13:09:10.08 -28:38:30.4,Hydra,1.77 0.78,165,,23.14,Sa,,
NGC 4981,G,13:08:48.74 -06:46:39.1,Virgo,2.70 1.97,155,11.41,22.72,Sbc,,
NGC 4982,Other,13:08:46.14 -10:35:19.2,Virgo, ,,,,,,
NGC 4983,G,13:08:27.29 +28:19:13.8,Coma Berenices,1.04 0.57,122,13.95,23.48,SBa,,
NGC 4984,G,13:08:57.23 -15:30:58.7,Virgo,3.37 2.50,45,11.01,23.55,S0-a,,
NGC 4985,G,13:08:12.10 +41:40:34.8,Canes Venatici,1.15 0.82,126,,23.77,S0,,
NGC 4986,G,13:08:24.46 +35:12:23.2,Canes Venatici,1.55 0.93,82,,23.44,SBb,,
NGC 4987,G,13:07:59.06 +51:55:45.5,Canes Venatici,1.24 0.71,33,,23.65,E,,
NGC 4988,G,13:09:54.38 -43:06:20.6,Centaurus,1.86 0.64,26,,23.87,S0-a,,
NGC 4989,G,13:09:16.05 -05:23:47.1,Virgo,1.41 0.55,175,,23.83,S0,,
NGC 4990,G,13:09:17.29 -05:16:22.1,Virgo,0.90 0.81,48,13.82,22.79,S0,,Cocoon Galaxy
NGC 4991,G,13:09:15.11 +02:20:51.6,Virgo,0.59 0.48,101,,22.97,SBb,,
NGC 4992,G,13:09:05.60 +11:38:03.0,Virgo,1.06 0.60,11,,23.03,SBa,,
NGC 4993,G,13:09:47.70 -23:23:02.0,Hydra,1.55 1.35,173,,23.16,E-S0,,
NGC 4994,Dup,13:09:47.70 -23:23:02.0,Hydra, ,,,,,,
NGC 4995,G,13:09:40.65 -07:50:00.3,Virgo,2.43 1.49,99,11.11,22.23,SABb,,
NGC 4996,G,13:09:31.89 +00:51:25.3,Virgo,1.81 1.36,16,,24.33,S0-a,,
NGC 4997,G,13:09:51.70 -16:30:55.7,Virgo,1.61 0.89,85,,23.74,E-S0,,
NGC 4998,G,13:08:10.16 +50:39:49.5,Canes Venatici,1.02 0.87,19,,23.57,Sc,,
NGC 4999,G,13:09:33.13 +01:40:23.0,Virgo,2.50 2.11,98,,23.9,Sb,,
NGC 5000,G,13:09:47.49 +28:54:25.0,Coma Berenices,1.28 1.02,63,13.28,23.08,Sbc,,
NGC 5001,G,13:09:33.11 +53:29:39.4,Ursa Major,1.15 0.42,157,,23.75,SBb,,
NGC 5002,G,13:10:38.01 +36:38:02.1,Canes Venatici,1.39 0.71,179,,23.55,Sm,,
NGC 5003,G,13:08:37.91 +43:44:15.1,Canes Venatici,1.03 0.77,148,,23.64,Sa,,
NGC 5004,G,13:11:01.55 +29:38:12.1,Coma Berenices,1.33 0.96,167,13.15,23.48,S0,,
NGC 5004A,G,13:11:01.70 +29:34:41.8,Coma Berenices,1.25 0.55,173,14.44,23.83,Sab,,
NGC 5004B,G,13:10:47.65 +29:42:35.6,Coma Berenices,0.81 0.48,175,14.67,23.15,SBb,,
NGC 5005,G,13:10:56.23 +37:03:33.1,Canes Venatici,4.82 1.52,70,10.71,21.82,SABb,,
NGC 5006,G,13:11:45.77 -19:15:42.3,Virgo,2.07 1.66,2,,23.7,S0-a,,
NGC 5007,G,13:09:14.39 +62:10:30.1,Ursa Major,0.93 0.57,136,,22.75,E-S0,,
NGC 5008,G,14:10:57.24 +25:29:50.0,Bootes,1.07 0.83,165,,23.08,Sc,,
NGC 5009,G,13:10:47.03 +50:05:34.3,Canes Venatici,1.08 0.62,67,,23.7,Sb,,
NGC 5010,G,13:12:26.35 -15:47:52.3,Virgo,1.00 0.75,115,,23.16,S0-a,,
NGC 5011,G,13:12:51.86 -43:05:46.4,Centaurus,2.92 2.43,154,11.38,23.59,E,,
NGC 5011A,G,13:12:09.72 -43:18:28.3,Centaurus,1.58 0.81,92,,23.5,SABc,,
NGC 5012,G,13:11:37.04 +22:54:55.8,Coma Berenices,2.64 1.44,10,,22.75,Sc,,
NGC 5013,G,13:12:07.35 +03:11:56.6,Virgo,0.74 0.51,148,,22.99,SBbc,,
NGC 5014,G,13:11:31.22 +36:16:55.7,Canes Venatici,2.11 0.73,100,12.83,23.36,Sa,,
NGC 5015,G,13:12:22.89 -04:20:11.3,Virgo,2.00 0.79,62,,23.23,Sa,,
NGC 5016,G,13:12:06.68 +24:05:42.0,Coma Berenices,1.57 1.14,56,12.56,22.55,SABb,,
NGC 5017,G,13:12:54.50 -16:45:57.0,Virgo,1.50 1.29,29,12.57,23.29,E,,
NGC 5018,G,13:13:01.03 -19:31:05.5,Virgo,3.49 2.17,99,10.85,23.24,E,,
NGC 5019,G,13:12:42.39 +04:43:46.8,Virgo,0.85 0.72,101,,22.79,SABc,,
NGC 5020,G,13:12:39.87 +12:35:59.1,Virgo,2.69 2.42,85,,24.02,Sbc,,
NGC 5021,G,13:12:06.27 +46:11:46.1,Canes Venatici,1.49 0.60,78,,23.16,SBb,,
NGC 5022,G,13:13:30.79 -19:32:47.9,Virgo,2.46 0.49,19,,23.45,Sbc,,
NGC 5023,G,13:12:12.60 +44:02:28.4,Canes Venatici,6.22 0.78,28,12.29,23.84,Sc,,
NGC 5024,GCl,13:12:55.23 +18:10:08.8,Coma Berenices,9,,7.79,,,53,
NGC 5025,G,13:12:44.75 +31:48:33.8,Canes Venatici,2.07 0.51,59,,23.82,Sb,,
NGC 5026,G,13:14:13.64 -42:57:40.6,Centaurus,3.52 1.79,50,11.81,23.74,Sa,,
NGC 5027,G,13:13:20.99 +06:03:40.6,Virgo,1.10 1.01,0,,23.75,Sb,,
NGC 5028,G,13:13:45.86 -13:02:32.9,Virgo,2.12 1.38,118,,24.52,E,,
NGC 5029,G,13:12:37.59 +47:03:47.8,Canes Venatici,1.52 0.93,147,,23.84,E,,
NGC 5030,G,13:13:54.15 -16:29:27.4,Virgo,1.78 1.16,173,,23.82,S0-a,,
NGC 5031,G,13:14:03.22 -16:07:23.2,Virgo,1.89 0.30,110,,24.18,S0-a,,
NGC 5032,G,13:13:26.95 +27:48:08.6,Coma Berenices,1.95 1.08,18,12.82,23.47,Sb,,
NGC 5033,G,13:13:27.47 +36:35:38.2,Canes Venatici,9.84 4.58,172,10.68,23.78,Sc,,
NGC 5034,G,13:12:19.01 +70:38:57.7,Ursa Minor,0.89 0.65,20,,22.57,Sbc,,
NGC 5035,G,13:14:49.23 -16:29:33.7,Virgo,1.56 0.99,171,12.84,23.34,S0-a,,
NGC 5036,G,13:14:42.84 -04:10:42.9,Virgo,0.69 0.57,73,,23.26,E-S0,,
NGC 5037,G,13:14:59.37 -16:35:25.1,Virgo,2.02 0.47,44,12.14,22.74,Sa,,
NGC 5038,G,13:15:02.13 -15:57:06.5,Virgo,1.79 0.38,94,,24.09,S0,,
NGC 5039,G,13:14:51.92 -04:09:29.4,Virgo,0.55 0.19,133,,24.69,Sa,,
NGC 5040,G,13:13:32.64 +51:15:30.1,Canes Venatici,1.03 0.48,70,,23.09,Sab,,
NGC 5041,G,13:14:32.46 +30:42:20.8,Coma Berenices,1.26 0.97,143,13.38,23.15,Sc,,
NGC 5042,G,13:15:31.02 -23:59:02.6,Hydra,4.15 2.20,19,11.78,23.88,SABc,,
NGC 5043,OCl,13:16:14.66 -60:02:43.8,Centaurus,5.52,,,,,,
NGC 5044,G,13:15:23.97 -16:23:07.9,Virgo,3.66 3.17,41,10.78,23.27,E,,
NGC 5045,*Ass,13:16:47.00 -63:25:00.0,Centaurus,20.00 11.00,,,,,,
NGC 5046,G,13:15:45.12 -16:19:36.6,Virgo,1.02 0.85,42,,23,E,,
NGC 5047,G,13:15:48.52 -16:31:08.0,Virgo,2.86 0.29,84,,24.44,S0,,
NGC 5048,G,13:16:08.38 -28:24:37.9,Hydra,1.57 0.92,43,,23.65,E-S0,,
NGC 5049,G,13:15:59.30 -16:23:49.8,Virgo,2.01 0.40,115,13.05,23.89,S0,,
NGC 5050,G,13:15:41.73 +02:52:44.3,Virgo,1.40 0.44,32,,23.6,S0-a,,
NGC 5051,G,13:16:20.10 -28:17:08.5,Hydra,1.65 0.71,48,,23.16,SABb,,
NGC 5052,G,13:15:34.89 +29:40:33.9,Coma Berenices,1.37 1.02,150,13.57,23.74,S0-a,,
NGC 5053,GCl,13:16:26.99 +17:41:51.9,Coma Berenices,4.8,,9.96,,,,
NGC 5054,G,13:16:58.49 -16:38:05.5,Virgo,5.04 2.90,171,10.79,23.45,Sbc,,
NGC 5055,G,13:15:49.33 +42:01:45.4,Canes Venatici,11.83 7.16,103,8.61,23.04,Sbc,63,Sunflower Galaxy
NGC 5056,G,13:16:12.32 +30:57:01.2,Coma Berenices,1.62 0.82,1,13.13,22.92,SABc,,
NGC 5057,G,13:16:27.77 +31:01:53.4,Coma Berenices,1.31 0.99,0,,23.74,S0,,
NGC 5058,G,13:16:52.31 +12:32:53.6,Virgo,0.76 0.56,13,,22.13,Scd,,
NGC 5059,G,13:16:58.46 +07:50:40.2,Virgo,1.12 0.41,6,,23.75,Sc,,
NGC 5060,G,13:17:16.22 +06:02:14.8,Virgo,1.17 0.95,61,,23.14,SBb,,
NGC 5061,G,13:18:05.07 -26:50:14.0,Hydra,3.75 3.05,109,10.31,22.94,E,,
NGC 5062,G,13:18:23.62 -35:27:31.2,Centaurus,2.69 1.18,132,12.24,24.1,S0,,
NGC 5063,G,13:18:25.71 -35:21:08.9,Centaurus,2.02 1.63,146,,23.39,Sa,,
NGC 5064,G,13:18:59.93 -47:54:31.2,Centaurus,2.70 1.40,36,12.04,23.5,Sb,,
NGC 5065,G,13:17:30.61 +31:05:33.7,Coma Berenices,1.22 0.73,87,,23,SABc,,
NGC 5066,G,13:18:28.45 -10:14:02.0,Virgo,0.80 0.56,0,,22.23,Sa,,
NGC 5067,**,13:18:27.76 -10:08:43.0,Virgo, ,,,,,,
NGC 5068,G,13:18:54.81 -21:02:20.8,Virgo,7.48 6.70,138,10.06,23.65,Sc,,
NGC 5069,Dup,13:18:28.45 -10:14:02.0,Virgo, ,,,,,,
NGC 5070,G,13:19:12.56 -12:32:23.6,Virgo,1.17 0.98,90,,23.55,E-S0,,
NGC 5071,G,13:18:37.19 +07:56:07.9,Virgo,0.77 0.57,142,,23.71,S0,,
NGC 5072,Dup,13:19:12.56 -12:32:23.6,Virgo, ,,,,,,
NGC 5073,G,13:19:20.65 -14:50:40.3,Virgo,3.78 0.56,149,,23.62,SBc,,
NGC 5074,G,13:18:25.77 +31:28:08.7,Canes Venatici,0.82 0.41,145,14.03,22.23,SABb,,
NGC 5075,G,13:19:06.25 +07:49:51.7,Virgo,1.02 0.76,57,,23.97,E,,
NGC 5076,G,13:19:30.40 -12:44:27.1,Virgo,1.35 0.97,31,,23.25,S0-a,,
NGC 5077,G,13:19:31.67 -12:39:25.1,Virgo,2.65 2.07,4,11.65,23.3,E,,
NGC 5078,G,13:19:49.98 -27:24:37.4,Hydra,2.56 0.62,147,10.64,22.26,Sa,,
NGC 5079,G,13:19:38.05 -12:41:56.5,Virgo,1.38 0.89,31,,22.15,SBbc,,
NGC 5080,G,13:19:19.22 +08:25:44.9,Virgo,1.31 1.17,93,,23.58,S0,,
NGC 5081,G,13:19:08.24 +28:30:24.9,Coma Berenices,1.90 0.73,101,13.13,23.64,Sb,,
NGC 5082,G,13:20:40.03 -43:41:59.8,Centaurus,1.73 1.04,33,,23.67,S0,,
NGC 5083,G,13:19:03.10 +39:35:21.6,Canes Venatici,1.09 0.83,136,,23.68,Sc,,
NGC 5084,G,13:20:16.92 -21:49:39.3,Virgo,9.93 2.46,80,10.49,25.22,S0,,
NGC 5085,G,13:20:17.75 -24:26:24.5,Hydra,4.06 3.26,42,12.6,25.07,Sc,,
NGC 5086,**,13:20:59.41 -43:44:00.7,Centaurus, ,,,,,,
NGC 5087,G,13:20:24.96 -20:36:39.6,Virgo,2.99 2.52,6,11.13,23.35,E-S0,,
NGC 5088,G,13:20:20.25 -12:34:18.4,Virgo,1.86 0.51,180,,22.43,SABb,,
NGC 5089,G,13:19:39.36 +30:15:23.6,Coma Berenices,0.95 0.65,122,,22.77,Sb,,
NGC 5090,G,13:21:12.82 -43:42:16.4,Centaurus,3.51 2.76,106,11.28,24.15,E,,
NGC 5090A,G,13:19:21.11 -43:38:57.8,Centaurus,1.91 0.73,142,,24.5,S0,,
NGC 5090B,G,13:20:17.52 -43:51:52.8,Centaurus,2.39 0.85,128,,23.97,SBb,,
NGC 5091,G,13:21:17.72 -43:43:10.8,Centaurus,2.15 1.33,122,13.35,23.82,Sb,,
NGC 5092,G,13:19:51.53 +22:59:59.6,Coma Berenices,1.01 0.96,50,,23.22,E,,
NGC 5093,G,13:19:37.81 +40:23:10.0,Canes Venatici,1.14 0.53,139,,23.13,SBa,,
NGC 5094,G,13:20:46.85 -14:04:50.4,Virgo,1.52 1.13,99,,24.03,E,,
NGC 5095,G,13:20:36.87 -02:17:21.6,Virgo,1.29 0.41,122,,23.62,S0-a,,
NGC 5096,GTrpl,13:20:08.70 +33:05:22.0,Canes Venatici,0.7,,,,,,
NGC 5096NED01,G,13:20:08.69 +33:05:16.6,Canes Venatici,0.87 0.71,7,,23.64,E-S0,,
NGC 5096NED02,G,13:20:09.16 +33:05:26.7,Canes Venatici,0.66 0.49,79,,24.3,E,,
NGC 5096NED03,G,13:20:08.09 +33:05:22.5,Canes Venatici,0.65 0.48,60,,24.51,E,,
NGC 5097,G,13:20:59.69 -12:28:16.5,Virgo,0.54 0.39,38,,23.14,E,,
NGC 5098,GPair,13:20:16.20 +33:08:39.0,Canes Venatici,1.6,,,,,,
NGC 5098NED01,G,13:20:17.75 +33:08:41.1,Canes Venatici,0.79 0.65,61,,23.58,E,,
NGC 5098NED02,G,13:20:14.73 +33:08:36.3,Canes Venatici,1.10 0.98,61,,23.78,E,,
NGC 5099,G,13:21:19.57 -13:02:32.5,Virgo,0.69 0.59,50,,23.41,E,,
NGC 5100,GPair,13:20:58.60 +08:58:55.0,Virgo,1.4,,,,,,
NGC 5100NED01,G,13:20:57.58 +08:59:07.7,Virgo,0.66 0.42,146,,23.97,SBbc,,
NGC 5100NED02,Dup,13:20:59.59 +08:58:41.9,Virgo, ,,,,,,
NGC 5101,G,13:21:46.24 -27:25:49.9,Hydra,5.90 5.52,123,10.46,24.15,S0-a,,
NGC 5102,G,13:21:57.61 -36:37:48.9,Centaurus,9.71 3.71,49,9.88,23.87,E-S0,,
NGC 5103,G,13:20:30.08 +43:05:02.3,Canes Venatici,1.59 0.98,142,,23.16,S0,,
NGC 5104,G,13:21:23.09 +00:20:32.6,Virgo,1.20 0.46,170,,23.11,Sa,,
NGC 5105,G,13:21:49.09 -13:12:24.4,Virgo,1.93 1.37,140,11.81,22.69,Sc,,
NGC 5106,G,13:20:59.59 +08:58:41.9,Virgo,0.94 0.67,22,,23.24,Sb,,
NGC 5107,G,13:21:24.68 +38:32:15.4,Canes Venatici,1.71 0.51,128,,22.75,SBcd,,
NGC 5108,G,13:23:18.84 -32:20:31.6,Centaurus,1.32 0.37,2,,23.38,SBbc,,
NGC 5109,G,13:20:52.35 +57:38:41.1,Ursa Major,1.60 0.43,155,,22.18,Sc,,
NGC 5110,G,13:22:56.52 -12:57:53.3,Virgo,2.63 2.10,108,,24.29,E-S0,,
NGC 5111,Dup,13:22:56.52 -12:57:53.3,Virgo, ,,,,,,
NGC 5112,G,13:21:56.40 +38:44:04.9,Canes Venatici,2.99 1.83,127,12.17,23.34,SBc,,
NGC 5113,Dup,13:20:52.35 +57:38:41.1,Ursa Major, ,,,,,,
NGC 5114,G,13:24:01.73 -32:20:38.2,Centaurus,1.81 1.12,78,,23.65,E-S0,,
NGC 5115,G,13:23:00.38 +13:57:02.4,Virgo,1.14 0.63,97,,23.38,Sc,,
NGC 5116,G,13:22:55.61 +26:58:50.6,Coma Berenices,1.95 0.67,39,,22.78,SBc,,
NGC 5117,G,13:22:56.48 +28:18:59.2,Canes Venatici,1.54 0.76,154,,23.5,Sc,,
NGC 5118,G,13:23:27.45 +06:23:33.2,Virgo,0.95 0.82,91,,22.99,SABc,,
NGC 5119,G,13:24:00.32 -12:16:35.2,Virgo,1.49 0.41,22,,23.8,S0,,
NGC 5120,OCl,13:25:39.41 -63:27:30.0,Centaurus, ,,10.8,,,,
NGC 5121,G,13:24:45.61 -37:40:55.9,Centaurus,2.16 1.67,30,11.62,22.79,Sa,,
NGC 5121A,G,13:25:32.80 -37:22:43.7,Centaurus,1.21 0.38,106,,23.92,SABd,,
NGC 5122,G,13:24:14.94 -10:39:15.4,Virgo,1.15 1.00,126,,23.3,S0-a,,
NGC 5123,G,13:23:10.52 +43:05:10.5,Canes Venatici,1.18 1.05,154,,22.62,Sc,,
NGC 5124,G,13:24:50.43 -30:18:27.1,Centaurus,2.48 0.80,12,12.08,23.83,E,,
NGC 5125,G,13:24:00.71 +09:42:36.7,Virgo,1.77 1.37,169,,23.38,Sb,,
NGC 5126,G,13:24:53.60 -30:20:01.0,Centaurus,1.86 0.64,57,,24.03,S0-a,,
NGC 5127,G,13:23:45.02 +31:33:56.7,Canes Venatici,2.18 1.58,72,,24.07,E,,
NGC 5128,G,13:25:27.62 -43:01:08.8,Centaurus,25.88 19.77,33,7.22,23.59,S0,,Centaurus A
NGC 5129,G,13:24:10.01 +13:58:35.5,Virgo,1.65 1.29,7,12.11,22.98,E,,
NGC 5130,G,13:24:27.16 -10:12:36.8,Virgo,1.11 0.82,45,,23.28,S0-a,,
NGC 5131,G,13:23:56.94 +30:59:17.0,Canes Venatici,0.45 0.39,77,,21.43,Sa,,
NGC 5132,G,13:24:28.90 +14:05:33.3,Virgo,1.31 0.88,63,,23.51,S0-a,,
